ID,Job Title,Description,Responsibilities,Basic Qualifications,Preferred Qualifications
57,Clinical Quality Project Manager - Telecommute in Ohio,"UnitedHealthcare is a company that's on the rise. We're expanding in multiple directions, across borders and, most of all, in the way we think. Here, innovation isn't about another gadget, it's about transforming the health care industry. Ready to make a difference? Make yourself at home with us and start doing your life's best work.(sm)

The most challenging part of this role? Effectively working with multiple project teams and stakeholders on project implementations. Our teams require flexibility utilizing various methodologies and tools. You'll need to drive collaboration in a cross-matrix environment leveraging your ability to build relationships and keep on track with the project scope and timeline. The Clinical Quality Project Manager is responsible for the coordination and completion of projects across various functional areas. Typically, employees in this function are working towards or have achieved certification in Project Management.

If you are located in Ohio, you will have the flexibility to telecommute* as you take on some tough challenges.
","Provide subject matter expertise in areas including project scope definition, risk identification, project methodology, resource allocation, facilitation, and other areas of expertise based on established project management techniques
Make presentations to management on project updates, project cycle, and expected results
Ensure projects are completed on time and in scope
May manage vendor and service providers to define project scope and performance expectations (Incumbents may be part of a project management office (PMO) in their business)
Consult with stakeholders to ensure alignment and understanding of program / project scope and objectives with the organization's strategic objectives and the Voice of the Customer
Raise awareness of any misalignment or misunderstanding of project scope and objectives with applicable stakeholders
Identify project duration, effort, sequence and dependencies of tasks required to meet applicable project objectives
Develop/contribute to project budgets and forecasts, obtaining approvals from applicable stakeholders
Apply project life cycle methodology and tools as you develop, document and implement project communication plans
Analyze and investigate
Provide explanations and interpretations within area of expertise","Undergraduate Degree (or higher)
2+ years of project management experience using data and information to make business decisions
Experience in Healthcare Quality, Healthcare Analytics, or Quality Improvement
Experience with IHI methodology or Quality Improvement Process
Experience analyzing data sets
Proficiency with Microsoft Excel and Microsoft PowerPoint with the ability to edit, create, save and send spreadsheets and documents
Resident of the state of Ohio","PMP Certification
CPHQ Certification
Lean Six Sigma"
58,"Technical Compliant Regulatory Project Manager - Plano, TX or Telecommute","Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that is improving the lives of millions. Here, innovation is not about another gadget; it is about making health care data available wherever and whenever people need it, safely and reliably. There is no room for error. If you are looking for a better place to use your passion and your desire to drive change, this is the place to be. It's an opportunity to do your life's best work.(sm)

The Technical Compliant Regulatory Project Manager(TCRPM) will oversee implementation and upkeep of the FDA Quality Management System as part of Vivify’s software development life cycle process. This candidate must possess a solid business acumen and understanding of FDA regulations and QMS requirements. The TCRPM will have a solid background in the medical software industry and will be instrumental in ensuring that Vivify’s software development processes follow FDA requirements. The TCRPM will lead the software development team and reports to the CTO, and as directed, the role will be focused on, but not exclusively limited to, the activities outlined below.

You’ll enjoy the flexibility to telecommute* from anywhere within United States as you take on some tough challenges.","Create and manage documents to meet the needs of FDA 510k QMS
Support with complaint handling. CAPA, internal audits
Facilitate document completion and signoffs
Plan and allocate project resources
Create schedules and project timelines
Track deliverables
Monitor and report on project progress
Present to stakeholders reports on progress as well as problems and solutions","Bachelor’s degree or equivalent work experience
Experience in designing and/or implementation of a QMS for credentialed certification: FDA 510K, ISO 9000, IEC 62304, etc.
Solid medical software industry experience
Experience with quality management systems that meets FDA requirements","Software development life cycle experience
Experience with Grand Avenue or other QMS
Possess an innovative spirit, is high energy, with ability to multi-task, prioritize tasks, and ability to adapt quickly in a rapidly changing environment
Ability to work well with teams and the ability to influence peers, scrum teams and associates
Works in a safety-conscious manner ensuring that safe work practices are utilized
Possess basic computer skills including Microsoft Word, Excel, Power Point, and Outlook
Solid organization, documentation, change management and project management skills
Solid communicator with excellent verbal and written skills"
59,"Digital Health Launch Readiness Project Manager - Eden Prairie, MN or Telecommute","Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.

As a Digital Health Launch Readiness Project Manager, you'll work to not only challenge the status quo, but change it. The Optum Center for Digital Health is building the world’s most comprehensive, digital, information and AI-enabled care model of the future blending virtual and in person care. Our care model is designed to achieve better outcomes, provide better experiences for patients and providers, while reducing the cost of care, through a “customer-centric” approach, in an agile, innovative environment.

In this role, you'll lead strategic initiatives among business teams and operating groups for critical projects focused on delivering products and services for our new model of care. You'll be a subject matter expert in leading teams through scope definition, planning, stakeholder identification, mapping dependencies, risk management and execution of the work through application of project management methodology. You will support short and long term operational strategic business activities by developing, enhancing and maintaining operational information and models. You will also develop and implement effective strategic business solutions through research and analysis of data and business processes. This is your opportunity to take your career to the next level as you work directly with senior leadership.

The Digital Health Launch Readiness Project Manager is an individual contributor with project-based work critical to maintaining momentum, managing partnerships, and supporting new initiatives that drive results that align to the Canter for Digital Health strategic priorities.","Independently manage projects of varying levels of complexity from kickoff through launch, with limited management oversight
Lead or contribute to the development of program or project scope statements with applicable stakeholders (e.g., program/project charter, Statement of Work)
Identify project duration, effort, sequence, and dependencies of tasks required to meet applicable project objectives
Drive/participate in the process, as appropriate
Monitor and document project milestones and outcomes throughout the project lifecycle to ensure adherence to established quality standards
Develop, communicate, and implement program and project risk, issue management plans and strategies
Develop and implement contingency and recovery plans when deliverables are missed (e.g., identify critical path, document, plan for getting back on plan schedule, Business Continuity Plan, failover planning)
Develop and maintain various project status reporting including proving verbal and written updates across a wide range of stakeholders
Acts as a centralized facilitating point for the coordination of tasks and integrated execution of key strategic initiatives and reduces activities carried out in isolation
Facilitate events and meetings for internal and external participants
Anticipate and proactively gather information regarding trends and upcoming asks
Exercise critical thinking and problem solving skills to drive significant business impact and customer satisfaction
Identify potential risk or problems proactively and drive resolution across cross-functional teams
Influence and manage group relationships with diverse geographic locations, skills and level of understanding of company processes and policy
Manage in a flexible, changing, and virtual environment, with the ability to be ready to adjust plans and direction in response to local feedback and the iterative nature of digital health projects","5+ years of project management experience - managing multiple complex projects through launch
3+ years clinical experience with focus in project management or business operations
3+ years of progressive responsibility with process improvement initiatives
3+ years of experience leading and influencing cross-functional teams including interfacing with leadership
2+ years of experience with Agile methodology
Advanced level of proficiency with Smartsheet, Visio, PowerPoint, SharePoint and Teams
Ability to travel up to 25% to partner directly with care delivery organizations","Bachelor’s degree in Business Administration, Healthcare Administration
PMP or CAPM certification
Lean Six Sigma certification
Black belt training
Experience with Epic technology platform
Experience with Aha technology platform
Experience using Rally
In-clinic experience
Experience working with digital product development"
60,"Provider Implementation Project Manager - Minnetonka, MN or Telecommute","Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm)

You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.","Lead or contribute to the development of program or project scope document, RACI, program/project charter, Statement of Work, Business Case/Vision Document
Manage project plans, open issues/action items, change requests, budget, and SOWs
Monitor and document project milestones and outcomes throughout the project lifecycle to ensure adherence to established quality standards
Partner with technical team in optimizing and automating provider onboarding, file ingestion, end to end provider life cycle management, dashboard, and reporting processes
Accelerate what is working well and identify obstacles hindering the provider onboarding process
Build strong relationships and collaborate with key stakeholders across UnitedHealthcare, Optum and external business partners
Develop, communicate, and implement program and project risk, issue management plans and strategies
Develop and implement contingency and recovery plans when deliverables are missed (e.g., identify critical path, document, plan for getting back to Green, Business Continuity Plan, failover plan)
Manage various meetings (including kickoff meetings, requirements gathering meetings, weekly program status meetings, and issue resolutions)
Coordinate and facilitates project meetings, prepare status reports, liaison with other cross-functional groups
Document processes, materials, decisions, outcomes, and communicate across teams","7+ years project management experience
2+ years of experience in HL7 or healthcare technology
Exposure to multiple PM methodologies including Agile
Proficient with MS Office Tools (SharePoint, Word, Excel, PowerPoint, Visio)","General understanding of CMS Stars ratings, HEDIS and standard health care file formats included CCD, CCDA, XML, V3, C32, HL7, ORU, MDM etc.
Experience facilitating and leading data solution design, architecture & delivery planning activities across geographically diverse and multi-disciplinary teams
Knowledge of data analysis
Ability to gather detailed requirements from analyst, developers and end-users and writing business requirements for clinical data applications and data interfaces
Ability to adapt to a fast-paced, quickly changing environment
Full COVID-19 vaccination is an essential requirement of this role. UnitedHealth Group will adhere to all federal, state and local regulations as well as all client requirements and will obtain necessary proof of vaccination prior to employment to ensure compliance"
61,Business Analyst Consultant - Level 2,"As the Business Analyst Consultant, you will be tasked with helping our regional care teams drive value and improve outcomes in the assigned markets as Level2 continues to scale across the country. This role oversees the execution of business objectives and general operations in the care team markets and helping adjust as needed to meet our goals. You will be responsible for exploring and operationalizing new ways to drive value, recommending changes and driving toward success, and working with key internal and external constituents to realize defined objectives. This role is a key part of the business operations team, facilitating alignment between business priorities and operational build out areas to enable the business to scale faster and grow efficiently","Develop and maintain a deep understanding of the Level2 business and our strategy
Help report on market savings strategy progress and assist with market rollout activities
Integrate diverse quantitative and qualitative information to create unique data-driven insights that enable refinement of scope, clarification of ambiguity and driving towards a business decision
Tackle special projects – execute the idea, identify improvements, pilot and pivot until solution functions as desired
Perform market research and collect/analyze data for potential business expansion to support prioritization of business opportunities
Develop and maintain internal and external business partner relationships
Support cross-functional collaboration, encouraging creative solutions and strategies and emphasizing outcomes and cost
Demonstrate resourcefulness in moving work forward, finding and harnessing resources, and meeting tight timelines
Work aggressively to resolve gaps and issues and keep the business build on track
Work as a member of regional care teams to assist with prioritizing and coordinating resources and activities to meet clinical and business goals","Bachelor's degree or higher in business analysis, business administration, finance or related field
2+ years’ work experience
Great analytical, critical thinking, and problem-solving abilities
Ability to work collaboratively and diplomatically with external and internal constituents gaining consensus/support and managing stakeholder input/approval
Strong adaptability and capacity to work in fast-paced environments
Possess advanced Microsoft Excel and PowerPoint skills
Demonstrated leadership, academic performance and intellectual curiosity","Experience working in healthcare
Ability to communicate complex ideas effectively verbally and in writing
1-2 or more years of experience in business and financial analysis, quantitative and qualitative market research, and strategy
Consulting experience a plus
Strong interpersonal, communication, presentation and meeting facilitation skills
Proven analytical and problem-solving skills, including ability to develop recommended business solutions through research and analysis of data and business process and implement when appropriate
Ability to work with minimal guidance; seeking guidance on only the most complex tasks
Experience in data models and reporting packages, including ability to analyze large datasets and write comprehensive reports
Ambitious self-starter with comfort navigating ambiguous situations and problems
Excellent written and verbal communication skills"
62,Senior Business Strategy Analyst - Pharmacy and Specialty Distribution,"As a Senior Business Strategy Analyst of Pharmacy and Specialty Distribution, you will be responsible for collecting and analyzing data for potential business expansion. This will include working with pharmaceutical manufacturers, as well as working across the UnitedHealth Group enterprise of companies. You will use data driven results to help determine what areas of specialty distribution OFT invests in for the future. Data results will also drive OFT expansion decisions as it relates to physical warehouse space. The Senior Business Intelligence Analyst will also be responsible for developing reports that are required in our data agreements with manufacturing partners. This role does not reside within IT, but rather sits inside the business and directly works with leadership to support deal evaluation. This role will also communicate with IT as needed, and be responsible for leading data project activities, assisting in the launch of new distribution agreements, conducting team meetings, establishing and maintaining timelines, and communications to all levels of stakeholders. This role will also be responsible for the development of a CRM tool that supports the various sales teams (provider, manufacturer and distribution) in order to develop a contact database and track activity to improve sales.","Collaborate with sales leadership and finance teams to design, and implement a sales incentive plan within budget that achieves sales goals and motivates the sales team
Work with internal resources to recommend and implement a customer relationship management tool and a sales reporting tool for tracking sales performance.
Analyze and report sales data and achievement of sales targets on a timely basis
Support operational and business analytics, process improvement data deep-dives, and the identification and execution of new opportunities to drive increases in efficiency and performance
Leverage market and customer research, trends, and competitor analysis to drive revenue, increase profitability, grow market share and enhance customer loyalty.
Manage Manufacturer data to ensure compliance with fee-for-service arrangements.
Develop innovative analytic solutions, create actionable insights, and drive better decisions and performance to help the organization achieve its objectives
Detail orientated – getting ""into the trenches"" to evaluate all aspects of operations; pivotal to success will be the ability to take a hands-on approach to getting the information needed and driving effective and lasting change
Develop visionary and creative analytic solutions to measure business performance; identify / quantify drivers, risks, and opportunities and define solutions to mitigate risks and leverage opportunities
Influence senior leadership to adopt new ideas, projects and/or approaches
Goal-directed, persistent, and driven to achieve positive results; positive influence on others and deals well with setbacks; identifies integration issues, removes barriers, and tracks project status in order to obtain desired results","5+ years of experience in reporting and analysis, data management, and reconciliation, with at least 3 of those years in a corporate setting, preferably in the healthcare services or specialty pharmacy services
Bachelor's degree in Business, Finance, Data Science, Computer Science, Mathematics, or related field
2+ years of direct working experience with a CRM platform, such as Salesforce.com
2+ years of experience working with Microsoft Power BI, or other advanced analytical tools such as Qlik Sense, Oracle Analytics Cloud, Tableau, ThoughtSpot, or SAP
External client-facing and/or account management or vendor management experience
Experience developing and delivering formal presentations
Proven history of implementing and executing successful business ideas into action.
Proficient skills in Microsoft Office","Experience leading a team of direct reports or demonstrated ability to manage and develop team members
Experience with Pharmacy Utilization Data"
63,Business Systems Analyst,"The Business Analyst is responsible working with teams across diverse locations, backgrounds, and disciplines.  Position has high visibility to leadership and business partners through direct interaction and reporting. Break down complex business requirements into manageable solutions, solve complex technical problems, interface with multiple teams, and support the delivery of solutions in a successful, and timely manner.

The person must be a team player and excel in a Billion dollar starts-up like work environment with focus on development and support of new data products.","Facilitates the capturing and prioritization of project requirements
Work with customers in requirement gathering, testing, training, and support
Manages project scope and the change control process as appropriate
Works with key stakeholders to ensure project requests are understood
Elevate issues, trends, areas for improvement and opportunities, report findings to management
Conduct gap analysis and data validation, identifying possible issues in data submission
Assist in implementing Quality measure reporting and analytic solutions
Deliver expert customer service utilizing technical expertise
Contributes to continuous improvement of processes and tools and champions new business processes with key stakeholders
Document and support best practices in data product development and adhere to HIPAA, Privacy and Security guidelines
Teammate is able to make the complex seem less complex, is a consensus builder and brings people and teams together. ","Education: Bachelor’s Degree or equivalent combination of education/experience in Information Technology and Healthcare or Health Insurance


Experience: 5 years experience in data systems programming or related field required. 2-5 years of healthcare experience preferred.","Ability to learn and use new tools and technology to create and support new data products - ETLs, reports, dashboards, and visualizations
Familiarity with Data Modeling and Warehousing, and data visualization
Working-level knowledge of MS SQL Server, T-SQL, SSIS, SSRS, Power BI
Familiarity with HEDIS measures, Medical Coding, Medicare Advantage program and risk adjustment methodology
Understanding of Membership, Claim, Rx, Provider, and EMR data
Excellent analytical and collaboration skills to work with internal and external teams
Positive, self-motivated individual who can work on multiple tasks and complete them independently
Ability to take initiative, handle complex situations, ask questions, stay calm, and find solutions
Superior communication skills and ability to communicate effectively with all levels of organization"
64,Business Analyst,"As a Business Analyst/System Administrator supporting our OnBase application, you'll have the opportunity design, implement, and troubleshoot OnBase solutions to support key operations and business objectives. This is a position that affords you the ability to provide our customers with customized solutions to meet their business needs. By using your unique blend of technical aptitude and business acumen to support OnBase, you will have an impact on healing the health care system. This is a challenging role that creates an opportunity to grow and develop while doing your life's best work.","Review and analyze business requirements
Analyze and interpret data to develop innovative solutions for the business and clients
Manage the design, development, and deployment of OnBase solutions that automate business process through workflow, case management and other OnBase functionality
Produce, publish and distribute scheduled and ad-hoc client and operational reports relating to the development and performance of products, processes and technologies
Provide end user support and communication
Plan and test software updates. Troubleshoot and resolve defects or configuration changes","2+ years of experience with software development processes (requirements, design, development, test and implementation)
2+ years of experience in a business analysis or development role
2+ years of demonstrated knowledge of OnBase module capabilities
Experience in process improvement evaluation and planning
Experience in solution design and implementation
Intermediate level of proficiency with Excel, Word, Visio, and PowerPoint","Bachelor’s Degree
Experience with SQL Server, Windows Client
Experience with development and software integration platforms (e.g. C#, .NET, Java, VB Scripting, etc.)"
65,Business Analyst,"Our Business Analysts serve as liaisons among product management, operations, client services, and product development to translate business needs into product requirements. They elicit, understand, analyze, and translate requirements into technical documentation. The individual will communicate the requirements to the project delivery team and facilitates activities through the software development lifecycle. This is an opportunity for you to have a direct impact on improving client and member experience by supporting our unique products.","Manage assigned product(s), processes, and related performance
Complete feature analysis, elicit, translate, and simplify requirements and turn into artifacts including functional design documents, technical requirements, use cases, developing test plans and test cases, conducting testing, overseeing training and procedural documentation, and managing implementations
Work collaboratively with design, development, and others to ensure understanding and to gain consensus during the requirements process
Interface with IT in developing requirements to ensure an efficient architecture and design of the final outcome
Interface with Operations in analyzing business needs to enhance operational performance and effectiveness
Interface with Client Service in analyzing client needs related to existing products and services
Interface with Product Development in analyzing client needs related to new client implementations or new product initiatives
Proactively seek and implement process improvements including analyzing data trends to identify opportunities through internal and external system/process enhancements
Analyze product issues, perform root cause analysis, and develop effective solutions that meet end user and client business requirements
Assist product or project manager in documenting requirements and implementing new strategic features or functionality
Participate in or lead cross-functional product or project teams
Identify financial, operational or compliance risks and establish controls to mitigate risks
Support Client Service as needed during client implementations
Support Operations Analysts in trouble-shooting complex issues and well as supporting with evening coverage
Cross-train to support other Business Analysts with their products as needed","Bachelor’s degree (BA or BS) from four-year college or university and 2+ years of related experience
2+ years of experience in a BA position or analytical role
Understanding of project management and testing methodology and procedures
Ability to conduct an analysis of a business need, including scheduling meetings, planning agendas, and conferring cross-functionally
Ability to develop software product test schedules, review testing plans, track test issues and report on test results
Solid technical skills including database/SQL queries, workflow analysis/definition and writing technical documentation","Detail, analytical, and results oriented skills with the ability to synthesize data to define system requirements
Ability to manage multiple tasks/projects and deadlines simultaneously
Ability to work as a team leader
Excellent verbal and written presentation and communication skills"
66,Business Analyst Consultant,"As a Business Analyst Consultant, you will lead projects and investigations into key business problems through quantitative analyses of coordination of benefits rules and applications. In this role, you will interpret and analyze data from various sources and recommend best approaches for new solutions. Your analyses will be used to create viable, real-world solutions in a complex health care landscape. The work is as challenging as it is rewarding. You'll open doors to new opportunities. This is where bold people with big ideas are writing the next chapter in health care.","Lead projects to completion by assisting leaders, peers, and business/data analysts in researching and implementing solutions to business challenges
Act as a liaison between leadership and staff to streamline communication and organization of projects
Create and analyze reporting tools utilized by the team as well as internal customer groups to track successes and performance of business processes
Utilize a logical and detail-oriented thought process to breakdown a complex problem into individual root causes
Ability to identify coordination errors regardless of client by reviewing data and possessing NAIC and MSP knowledge and experience
Ability to identify and refine criteria to successfully increase efficiency of algorithm logic
Complete business analysis on new analytic opportunities that may include proof of concept, functional testing, determination of yield, time to complete, and financial impact
Explore potential trends identified internally or by matrix business partners
Triage anomalies observed with production processes
Research, identify, and plan work based on potential areas for coordination of benefit improvements with government and commercial payers
Interpret and analyze claims and membership data","Bachelor's degree or equivalent work experience
3+ years of work experience in a corporate setting
2+ years of health care experience working with claims data and medical codes
2+ years of experience in Tableau reporting
2+ years of leading complex projects
Intermediate to advanced in performing data analysis
At least an intermediate level of proficiency working with MS Excel including formulas, calculations, charts, graphs, etc.","2+ years of experience in Medicare reimbursement methodology
2+ years of Coordination of Benefits experience
1+ years of Microsoft Project experience
1+ years of experience in Tableau report development
NAIC Guidelines knowledge
At least an intermediate level proficiency with SQL"
67,"Sr Business Analyst, Quality Reporting Operations","QSD combines talented individuals from many areas of quality. Our goal is extraordinary performance that exceeds the expectations of the constituents, customers and members we serve.  As a Reporting Analyst, you will be responsible for analyzing, reviewing and reporting data related to HEDIS® measure rate reporting.  You’ll be expected to interpret and analyze large amounts of data from multiple sources and use it to tell a meaningful story. This position will conduct analysis and comparison of HEDIS® reporting data, as well as troubleshooting data anomalies sourced from multiple platforms.  This position will be expected to command an understanding of data processing software applications and warehouse storage environments.  All work supports Commercial, Medicare & Medicaid quality improvement programs.  This position reports to the Manager, QVSD Quality Reporting Operations","QA/analysis of large data sets used for reporting and QA/analysis of subsequent deliverables
Respond to client inquiries regarding rate results, data completeness/quality and review member/provider specific concerns. Identify and trouble-shoot anomalies in production process and subsequent deliverables
Develop solutions and process efficiencies to improve delivery times, quality and completeness
Gather and document requirements from the client/business while focused on process improvement, workflow, benchmarking and/or evaluation of business processes
Communicate analysis including trends and opportunities to clients and the business in writing and verbally to solve complex business problems while negotiating multiple daily priorities 
Work with relational databases, database structures and SLQ queries on a daily basis
Works with minimal guidance; seeks guidance on only the most complex tasks
Develop & produce ad-hoc reports","Bachelor's Degree  or equivalent experience
3+ years of demonstrated and recent experience reading/writing medium to complex SQL queries
2+ years of experience and working knowledge in healthcare data analysis related to quality reporting and metrics
Health care industry experience with claims, member or provider data
Experience with HEDIS® and/or Clinical Measures and related technical specifications/requirements
Intermediate level of proficiency in MS Excel
Excellent communication, time/project management, problem solving, organizational, and analytical skills","Intermediate level of proficiency in Tableau, SQL Server Integration Services (SSIS or equivalent)
Exposure to Big Data environments
Advanced level of proficiency in MS Excel
Advanced level of proficiency in Transact SQL"
68,Business Analyst Consultant,"Tough challenges? We know a thing or two about those. When you're on a mission to help people live healthier lives, the stakes couldn't be higher. If you are a highly motivated individual with a genuine interest in operational compliance and a passion to create standardized processes that allow our clients to focus on increasing their business, we have the perfect job for you. As a Transparency Business Consultant with OptumRx, you will help rewrite the future of the health care system. You'll deliver the best processes that impact thousands of clients with millions of lives. Along with ground-breaking challenge, you'll have the support and resources of a Fortune 7 company. Join us.","Responsibility for implementing end to end solutions for complex regulatory requirements delegated to OptumRx regarding Transparency reporting regulations
May lead functional or segment projects and have oversight for coordination of project segments that connect
Leads complex data mapping exercises and data file requirement gathering sessions with external clients and vendors
Defines methodology and analytic approach as required for end to end client data file inputs, including the aggregation requirements and data mapping to RxClaim configurations for client specific business segments
Ability to oversee large volumes of complex client implementations and coordinate with IT leads and assist with standard solutions that will meet the needs of multiple clients
Mentor and lead other team members, providing guidance throughout the implementation process
Sought out as an expert
Anticipates customers’ needs and proactively develops solutions to meet them
Performs ad-hoc data analysis, disruption analysis and reporting as required by implementation needs and prepares data for downstream use
Writes and maintains detailed documentation including specifications, expected outcomes, validation methodology/processes, test results, recommendations, version control, and configuration design related to external data file requirements
Works with internal stakeholders to ensure data file requirements scheduling, data file intake, client data management, and quality of data based on requirements
Understands data standards and identifies data abnormalities. Instills data quality in all outputs that are delivered
Takes personal ownership and accountability for pre-determined Service Level Agreements by following up and following through on all deliverables
Recommends and implements improvements to existing processes and assists with adoption of new software tools
Possess excellent oral and written communication skills, and is comfortable presenting to everyone from entry-level employees to senior vice presidents, and external clients and coalitions
Acts as a technical business liaison to explain complicated technical information to non-technical audiences (both internal and external) effectively
Promptly responds to service failures, resolves issues, and escalates concerns as appropriate
Provides consistent and thorough updates. Identifies risks and escalates appropriately
Promotes continuous improvement by ensuring adherence to quality principles and presenting solutions for process excellence. Solves complex problems. Develops innovative approaches
Seeks out and actively participates in business initiatives that contribute to service excellence, with minimal leadership guidance
Keeps current with industries best practices and seeks additional training/seminars to improve technical skills","Bachelor’s Degree
3+ years of experience, in managing complex processes in Pharmacy Benefit Management
Experience in analysis of business processes and workflows, and providing evaluations, benchmarks, and/or process improvement recommendations","AS400/RXCLAIM experience or experience working in similar claim adjudication systems
Communication and presentation skills
Organizational and time management skills
Sharp analytical and problem-solving skills
Creative thinker that takes initiative"
69,Business Systems Analyst,The Business Systems Analyst will work within Community and State Automation Operations functional and implementation teams to ensure effective and efficient claims processing through the RPA (Robotic Process Automation). Provide business systems analysis to refine business automation process on claims processing.,"Solicit for understanding and clarifying of business requirements for Robotic Process Automation (RPA)
Apply understanding of technology to influence and assess feasibility of solutions
Write business and technical requirements for the automation
Validate solution meets business needs for automation process
Tracks, identifies and promptly reports issues that may affect solution quality and bring forward improvement recommendations
Incorporate and optimizes non-functional requirements into solution
Incorporate business objectives when evaluating processes to remove redundancies and waste
Provide ideas on the process improvement, recommend new technologies or modifications that improve business outcomes
Incorporate business objectives when evaluating processes to remove redundancies and waste
Recommend solutions for multiple channels
Recommend test scenarios to business testers; assists in defect analysis to assess impact on solution","Bachelor’s Degree or equivalent experience
3+ years of experience in Healthcare Insurance – claims processing
4+ years of experience in business systems analysis
4+ years of experience in SQL query
3+ years of experience in process improvements through automation
Effective data analysis and interpretation experience (ability to encompass business analysis deliverables into work)","Knowledgeable in Agile implementation
Knowledgeable in Facets claim data
Able to create reporting using SSRS or PowerBI"
70,Associate Business Process Analyst,"This position is responsible for various functions related to receipt, transmission, translation and maintenance of electronic and non-electronic encounter data.","Aid in generating, processing and auditing EDI files and coordinate exchange with plan partner representatives
Perform testing on basic system configurations
Assist with encounter data error research
Document business workflow diagrams using MS Visio
Eligibility and claim history research as required for member accumulator updates
Maintain departmental forms, job aids, and tracking lists
Provide production support to the eligibility process as outlined in the eligibility coordinator job description
Any other tasks as required in support of the Eligibility & EDI department","High school diploma or GED
1+ years of experience working with EDI X12 data files (e.g. 834, 837, 997/999, 277CA) and/or proprietary flat files
1+ years of claim processing / benefit-pricing configuration or Healthcare Software System Configuration experience
Entry-level experience with SQL queries
Intermediate ability in Microsoft Office applications (Excel, Access, etc.)","College experience in business administration, health administration, or computer science
Analytical and organizational skills
Self-motivated with ability to work independently with limited supervision
Ability to work well with people from different disciplines with varying degrees of technical experience
Excellent written and oral communication skills
Logical and efficient
Keen attention to detail"
71,Business Analyst - Telecommute,"Responsible for conducting and documenting moderate to complex data analysis projects. Also responsible for planning and implementing projects that drive efficiency and quality within the Revenue Services department. Ideal candidate must be able to manipulate, analyze, and interpret data using Access, Excel, SQL, and VBA and then be able to provide answers to business questions and billing issues found through analyzing the data.","Manipulate, analyze, and interpret large amounts of data using Access, Excel, SQL, and VBA
Automate processes and reports
Recognize inefficiencies in processes (operational or technical)
Design solutions to address billing issues
Pull ad hoc reports from various billing systems
Perform data validation to ensure accuracy and quality
Data mining for advanced analysis of data presented in reports for management
Analyze insurance medical billing denials to identify trends
Recommend solutions to decrease bad debt and increase cash for receivables from laboratory tests
Assist Billing department in the resolution of billing issues
Provide feedback to Senior Management regarding contractual issues impacting Revenue Services
Collaborate with other business units and departments on analysis projects","BS / BA degree
1+ years of business or data analysis experience
Previous experience implementing cross-functional initiatives
Proficient of SQL required
2 years of experience Investigative & research skills required
Excellent organizational, interpersonal, and communication (written and verbal) skills required","Experience with VBA and macros
Experience with insurance health plans or HMOs
Ability to work to a consistent high standard under pressure
Ability to work in a fast paced environment and adapt to ever changing priorities
High degree of accuracy and attention to detail
Demonstrate problem-solving and strong analytical skills
Ability to multitask on multiple small to complex projects / tasks and meet deadlines
Willingness to undertake additional responsibilities as required
Self-motivated, able to work in a team, and demonstrates the ability to work independently
Demonstrated ability to clearly communicate complex issues to all levels of management"
72,MBA Business Analyst Consultant,"Our Rotational Leadership Program is designed specifically for highly talented MBA candidates who have a strong desire to demonstrate their capabilities and enhance their leadership potential. You will be placed in strategic positions with frequent exposure to leaders, businesses, and technologies. You will have the ability to make meaning contributions to the company and help people live healthier lives.","Optum Payment Integrity and Call & Claim business consists of over 20,000 employees worldwide. Our 24-month program consists of two assignments (12 months each) in different business and geographic locations, providing you with a broad understanding of Payer Operations within the organization.

You’ll be exposed to managing Optum Payer top executional priorities which will utilize your strategic planning, critical thinking, global mindset, program, and project management skills.

Participants will also experience extensive, customized formal development programs to fulfill professional and personal potential. This role will allow you the opportunity to interact with senior leaders and build a valuable network of peers, managers, and leaders across the organization.
","Undergraduate degree from an accredited institution
Currently pursuing an MBA from a top tier program with a target graduation date no later than June 2022. (Or have graduated with MBA in past two years)
Must be eligible to work in the U.S. without company sponsorship, now or in the future, for employment-based work authorization (F-1 students with practical training and candidates requiring H-1Bs, TNs, etc. will not be considered)
Full COVID-19 vaccination is an essential requirement of this role. UnitedHealth Group will adhere to all federal, state and local regulations as well as all client requirements and will obtain necessary proof of vaccination prior to employment to ensure compliance.","3-5 years of relevant professional work experience
Geographic flexibility – telecommuter considered
Operations experience or operations focused educational background
Demonstrated success at leading teams
Ability to quickly understand complex business issues and make strategic decisions
Thrive in team-based culture and fast changing environment
High emotional intelligence, ability to navigate a complex matrix organization
Innovative & proactive thinker
Business acumen & global mindset
Align to our Mission & Values, embrace Inclusion & Diversity
Project or program management, healthcare, marketing and/or IT background a plus"
